"date","sim","obs"
2005-11-18,28.63,11.666540795904
2005-11-19,28,11.694857642496
2005-11-20,28.91,11.75149133568
2005-11-21,35.5,12.969115739136
2005-11-22,36.8,15.121196080128
2005-11-23,35.15,17.358226960896
2005-11-24,31.64,18.54753451776
2005-11-25,27.75,18.887336676864
2005-11-26,25.78,19.170505142784
2005-11-27,23.89,19.651891534848
2005-11-28,22.84,20.303179006464
2005-11-29,23.13,21.322585483776
2005-11-30,23.51,22.22872457472
2005-12-01,22.8,22.030506648576
2005-12-02,21.52,20.81288224512
2005-12-03,20.55,19.53862414848
2005-12-04,18.89,19.057237756416
2005-12-05,24.78,19.510307301888
2005-12-06,29.65,20.303179006464
2005-12-07,31.78,20.841199091712
2005-12-08,34.82,21.747338182656
2005-12-09,36.83,23.248131052032
2005-12-10,37,24.777240768
2005-12-11,35.78,26.362984177152
2005-12-12,33.77,27.46734119424
2005-12-13,32.28,28.60001505792
2005-12-14,30.5,30.29902585344
2005-12-15,32.7,31.1485312512
2005-12-16,34.23,30.58219431936
2005-12-17,38.92,29.16635198976
2005-12-18,43.98,29.16635198976
2005-12-19,47.1,29.16635198976
2005-12-20,47.98,30.01585738752
2005-12-21,47.21,30.86536278528
2005-12-22,45.32,31.1485312512
2005-12-23,42.3,31.71486818304
2005-12-24,39.24,31.99803664896
2005-12-25,41.33,32.28120511488
2005-12-26,43.48,32.5643735808
2005-12-27,44.24,33.41387897856
2005-12-28,56.9,34.54655284224
2005-12-29,66.36,38.79407983104
2005-12-30,70.34,41.62576449024
2005-12-31,71,42.475269888
2006-01-01,72.24,41.62576449024
2006-01-02,103.2,48.42180767232
2006-01-03,119.8,65.69508409344
2006-01-04,123.7,83.81786591232
2006-01-05,121.9,92.87925682176
2006-01-06,118.6,99.108963072
2006-01-07,115.2,109.0198593792
2006-01-08,112.4,112.98421790208
2006-01-09,109.8,105.90500625408
2006-01-10,106.7,94.8614360832
2006-01-11,103.5,86.08321363968
2006-01-12,97.97,79.85350738944
2006-01-13,93.95,75.60598040064
2006-01-14,88.59,75.88914886656
2006-01-15,84.48,68.80993721856
2006-01-16,79.78,60.03171477504
2006-01-17,82.48,53.51884005888
